drug_clean,smiles
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS,
.DELTA.9-TETRAHYDROCANNABINOLIC ACID\HERBALS,
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,
.DELTA.9-TETRAHYDROCANNABINOL\HERBALS,
15 DAY CLEANSE GUT SUPPORT,
4 KIDS COMPLETE COLD AND MUCUS,
7-HYDROXYMITRAGYNINE,CC[C@@H]1CN2CC[C@]3(C(=NC4=C3C(=CC=C4)OC)[C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)O
ABACAVIR,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO
ABACAVIR SULFATE,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO.OS(=O)(=O)O
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE,
ABACAVIR SULFATE\LAMIVUDINE,
ABACAVIR\LAMIVUDINE,
ABALOPARATIDE,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)N
ABATACEPT,
ABECMA,
ABELCET,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
ABEMACICLIB,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
ABILIFY,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ABILIFY ASIMTUFII,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ABILIFY MAINTENA,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ABIRATERONE,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O
ABIRATERONE ACETATE,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C
ABIRTEGA,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C
ABLYSINOL DEHYDRATED ALCOHOL,
ABRAXANE,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
ABREVA,CCCCCCCCCCCCCCCCCCCCCCO
ABRILADA,
ABROCITINIB,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3
ABRYSVO,
ABSORICA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
ABSORICA LD,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
ACALABRUTINIB,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5
ACAMPROSATE CALCIUM,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
ACARBOSE,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO
ACARIZAX,
ACCOLATE,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
ACCRUFER,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Fe+3]
ACCUTANE,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
ACD-A,
ACEBUTOLOL HYDROCHLORIDE,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl
ACECLOFENAC,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
ACETAMINOPHEN,CC(=O)NC1=CC=C(C=C1)O
ACETAMINOPHEN AND CODEINE,CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4C1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
ACETAMINOPHEN AND IBUPROFEN,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ACETAMINOPHEN\ASPIRIN\CAFFEINE,
ACETAMINOPHEN\BUTALBITAL\CAFFEINE,
ACETAMINOPHEN\CAFFEINE\CHLORPHENIRAMINE,
ACETAMINOPHEN\CAFFEINE\GUAIFENESIN\PHENYLEPHRINE,
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\PSEUDOEPHEDRINE,
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN\PHENYLEPHRINE,
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN\PSEUDOEPHEDRINE,
ACETAMINOPHEN\CODEINE PHOSPHATE,
ACETAMINOPHEN\DEXCHLORPHENIRAMINE MALEATE,
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE,
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE,
ACETAMINOPHEN\GUAIFENESIN,
ACETAMINOPHEN\HYDROCODONE,
ACETAMINOPHEN\HYDROCODONE BITARTRATE,
ACETAMINOPHEN\IBUPROFEN,
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,
ACETAMINOPHEN\TRAMADOL,
ACETAZOLAMIDE,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
ACETIC ACID,CC(=O)O
ACETIC ACID\DEXAMETHASONE\NEOMYCIN SULFATE,
ACETIC ACID\WATER,
ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O
ACID CONCENTRATE D,
ACIPHEX,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+]
ACITRETIN,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC
ACLASTA,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
ACLIDINIUM BROMIDE,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE,
ACOLTREMON,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C
ACORAMIDIS,CC1=C(C(=NN1)C)CCCOC2=C(C=CC(=C2)C(=O)O)F
ACTEMRA,
ACTEMRA ACTPEN,
